,Date,Title,Url,NewsPaper
36,2022.10.28.,"경기도-전남도, UAM산업 육성 등 상생발전 합의",https://news.kmib.co.kr/article/view.asp?arcid=0017614534&code=61121111&cp=nv,국민일보
37,2022.10.26.,김성제 의왕시장 ‘지방자치 혁신 행정’ 대상 수상,https://news.kmib.co.kr/article/view.asp?arcid=0017608240&code=61121111&cp=nv,국민일보
38,2022.10.23.,‘권력’에 끊겼던 서촌·북촌… 관광루트로 연결돼 활기,https://news.kmib.co.kr/article/view.asp?arcid=0924269547&code=14170000&cp=nv,국민일보
39,2022.10.23.,"오석규 경기도의원, ‘한중 우호 공헌 대상’ 문화 분야 공로상",https://news.kmib.co.kr/article/view.asp?arcid=0017595149&code=61121111&cp=nv,국민일보
40,2022.10.23.,‘2024~2025 경기도 종합체육대회’ 개최지 파주시 선정,https://news.kmib.co.kr/article/view.asp?arcid=0017595002&code=61121111&cp=nv,국민일보
41,2022.10.23.,‘경북의 힘으로 새로운 대한민국’···도민의 날 행사 열려,https://news.kmib.co.kr/article/view.asp?arcid=0017594857&code=61122022&cp=nv,국민일보
42,2022.10.23.,"‘경제 활력’ 경기도, 기업설명회·종합전시회 잇단 개최",https://news.kmib.co.kr/article/view.asp?arcid=0017594686&code=61121111&cp=nv,국민일보
43,2022.10.21.,"검찰총장 “野가 절대다수, 어떻게 탄압·보복하나”",https://news.kmib.co.kr/article/view.asp?arcid=0017589624&code=61111511&cp=nv,국민일보
44,2022.10.21.,첫 중동·겨울 월드컵… “대~한민국” 한 달 앞으로,https://news.kmib.co.kr/article/view.asp?arcid=0924269445&code=12120000&cp=nv,국민일보
45,2022.10.18.,"시민 72% 찬성… 서울시, 2036년 하계올림픽 유치 나선다",https://news.kmib.co.kr/article/view.asp?arcid=0924268755&code=11131400&cp=nv,국민일보
46,2022.10.17.,‘서울올릭핌’ 한 번 더?…서울시민 73% 찬성,https://news.kmib.co.kr/article/view.asp?arcid=0017575887&code=61121111&cp=nv,국민일보
47,2022.10.17.,"서울시, 2036년 올림픽 유치전 나선다… 시민 73% 찬성",https://news.kmib.co.kr/article/view.asp?arcid=0017575867&code=61121111&cp=nv,국민일보
48,2022.10.17.,경기둘레길 활성화한다… 가평·여주서 걷기행사 개최,https://news.kmib.co.kr/article/view.asp?arcid=0924268560&code=11131412&cp=nv,국민일보
49,2022.10.16.,경기도 ‘경기둘레길’ 활성화…가평·여주서 걷기행사 개최,https://news.kmib.co.kr/article/view.asp?arcid=0017572503&code=61121111&cp=nv,국민일보
50,2022.10.14.,"성남시, 의료관광·헬스케어산업 세계화 박차",https://news.kmib.co.kr/article/view.asp?arcid=0017568157&code=61121111&cp=nv,국민일보
51,2022.10.13.,문화도시 수원 ‘모든 것은 노래한다’ 15일부터 23일까지,https://news.kmib.co.kr/article/view.asp?arcid=0017564403&code=61121111&cp=nv,국민일보
52,2022.10.13.,"경기도 6개 옛길, 모두 복원…550㎞ 대형 탐방로 탄생",https://news.kmib.co.kr/article/view.asp?arcid=0017563581&code=61121111&cp=nv,국민일보
53,2022.10.12.,비움과 채움이 있는 고즈넉한 풍경,https://news.kmib.co.kr/article/view.asp?arcid=0924267851&code=14170000&cp=nv,국민일보
54,2022.10.11.,역대 최대 규모 기업회의 단체 한국 유치,https://news.kmib.co.kr/article/view.asp?arcid=0017556708&code=61172311&cp=nv,국민일보
55,2022.10.10.,한국 특화 관광상품 해외 판매 지원…‘한국 테마관광 박람회’,https://news.kmib.co.kr/article/view.asp?arcid=0017553172&code=61172311&cp=nv,국민일보
56,2022.10.10.,"화성 제암리교회, 성경전래기념관… 희생·헌신 위에 핀 복음 역사와 만나다",https://news.kmib.co.kr/article/view.asp?arcid=0924267523&code=23111111&cp=nv,국민일보
57,2022.10.09.,서태원 가평군수 “힐링과 행복 하나되는 가평특별군 도약”,https://news.kmib.co.kr/article/view.asp?arcid=0017551807&code=61121111&cp=nv,국민일보
58,2022.10.06.,‘경기도 건설신기술 박람회’ 26~27일 의정부서 열려,https://news.kmib.co.kr/article/view.asp?arcid=0017545109&code=61121111&cp=nv,국민일보
59,2022.10.06.,"이동환 고양시장 “고양시, 자족도시 기반 형성해 비상할 것”",https://news.kmib.co.kr/article/view.asp?arcid=0017543506&code=61121111&cp=nv,국민일보
60,2022.10.06.,“尹 구둣발 올린거 보고”…학생이 ‘윤석열차’ 그린 이유,https://news.kmib.co.kr/article/view.asp?arcid=0017541881&code=61111111&cp=nv,국민일보
61,2022.10.06.,“블랙리스트 연상” vs “文열차였으면 린치”,https://news.kmib.co.kr/article/view.asp?arcid=0924267047&code=11121100&cp=nv,국민일보
62,2022.10.05.,‘윤석열차’ 여야 난타전…“블랙리스트 연상” vs “文열차였으면 린치”,https://news.kmib.co.kr/article/view.asp?arcid=0017540901&code=61111511&cp=nv,국민일보
63,2022.10.05.,박범계 “통컸던 석열이형…대통령 되더니 전두환 비쳐”,https://news.kmib.co.kr/article/view.asp?arcid=0017538366&code=61111111&cp=nv,국민일보
64,2022.10.05.,"‘윤석열차’ 경고에…이준석 “尹, 전두환 사형 모의재판은?”",https://news.kmib.co.kr/article/view.asp?arcid=0017537681&code=61111111&cp=nv,국민일보
65,2022.10.05.,‘윤석열차’ 본 법원행정처장 “표현 자유”…與 “표절작”,https://news.kmib.co.kr/article/view.asp?arcid=0017537583&code=61111511&cp=nv,국민일보
66,2022.10.04.,‘윤석열차’ 카툰 논란에…문체부 “주최측에 엄중 경고”,https://news.kmib.co.kr/article/view.asp?arcid=0017535647&code=61171511&cp=nv,국민일보
67,2022.10.04.,"경기도, 가상·증강현실 메타버스 기술 한자리에 모았다",https://news.kmib.co.kr/article/view.asp?arcid=0017533673&code=61121111&cp=nv,국민일보
68,2022.10.04.,"조종수 김건희, 칼 든 검사들…고교생이 그린 ‘윤석열차’",https://news.kmib.co.kr/article/view.asp?arcid=0017533266&code=61111111&cp=nv,국민일보
69,2022.10.01.,[한마당] 3년 만의 가을축제,https://news.kmib.co.kr/article/view.asp?arcid=0924266338&code=11171211&cp=nv,국민일보
70,2022.09.30.,"검찰, 이은해 도피 도운 중학교 동창 등 2명 기소",https://news.kmib.co.kr/article/view.asp?arcid=0017525898&code=61121111&cp=nv,국민일보
71,2022.09.30.,충남 아산만 ‘베이밸리 메가시티’ 건설에 경기도도 동참한다,https://news.kmib.co.kr/article/view.asp?arcid=0924266205&code=11131417&cp=nv,국민일보
72,2022.09.29.,"충남 ‘베이밸리 메가시티’, 경기도와 함께 만든다",https://news.kmib.co.kr/article/view.asp?arcid=0017520379&code=61121111&cp=nv,국민일보
73,2022.09.26.,‘겉멋든 행정’… 살롱·먼스 등 외국어 남발하는 서울시,https://news.kmib.co.kr/article/view.asp?arcid=0924265419&code=11131400&cp=nv,국민일보
74,2022.09.25.,‘겉멋든 행정’…살롱·먼스 등 외국어 남발하는 서울시,https://news.kmib.co.kr/article/view.asp?arcid=0017505966&code=61121111&cp=nv,국민일보
75,2022.09.23.,"전국생활체육대축전 태권도경기, 1위는 ‘부산’",https://news.kmib.co.kr/article/view.asp?arcid=0017502763&code=61161111&cp=nv,국민일보
76,2022.09.20.,[지역 리포트] 시민과 함께… 대한민국 넘어 세계 최고 첨단·행복도시 ‘웅비’,https://news.kmib.co.kr/article/view.asp?arcid=0924264504&code=11131412&cp=nv,국민일보
77,2022.09.20.,한국 ‘시나위’와 미국 ‘재즈’ 평택서 만나 신명난다,https://news.kmib.co.kr/article/view.asp?arcid=0017488474&code=61121111&cp=nv,국민일보
78,2022.09.20.,"[기고] 가평 농업과 대기업, 수도권 시민과 상생 꿈꾼다",https://news.kmib.co.kr/article/view.asp?arcid=0017488129&code=61121111&cp=nv,국민일보
79,2022.09.20.,경기도서 역사문화생태 관광하고 여행비 지원 받아요,https://news.kmib.co.kr/article/view.asp?arcid=0017487654&code=61121111&cp=nv,국민일보
80,2022.09.17.,[빛과 소금] 나비효과,https://news.kmib.co.kr/article/view.asp?arcid=0924263898&code=11171419&cp=nv,국민일보
81,2022.09.14.,경복궁·흔들바위·무령왕릉… 학창시절 추억이 방울방울,https://news.kmib.co.kr/article/view.asp?arcid=0924263540&code=14170000&cp=nv,국민일보
82,2022.09.14.,영종~송도~청라 연결 인천 글로벌 서클 추진,https://news.kmib.co.kr/article/view.asp?arcid=0924263513&code=11131411&cp=nv,국민일보
83,2022.09.13.,"인천시, 영종·송도·청라 글로벌 서클…초일류도시 도약",https://news.kmib.co.kr/article/view.asp?arcid=0017464884&code=61121111&cp=nv,국민일보
84,2022.09.13.,화담숲 ‘가을 단풍축제’ 오는 14일부터 사전예약,https://news.kmib.co.kr/article/view.asp?arcid=0017464330&code=61172311&cp=nv,국민일보
85,2022.09.08.,DMZ 평화의 상징 ‘파주 캠프그리브스 역사공원’ 닻 올렸다,https://news.kmib.co.kr/article/view.asp?arcid=0924262931&code=11131412&cp=nv,국민일보
86,2022.09.07.,경기도 ‘파주 캠프그리브스 역사공원’ 내달 착공,https://news.kmib.co.kr/article/view.asp?arcid=0017448944&code=61121111&cp=nv,국민일보
87,2022.09.06.,‘코로나 이후에도 캠핑 인기’… 2021 캠핑이용자 실태 조사,https://news.kmib.co.kr/article/view.asp?arcid=0017444162&code=61172311&cp=nv,국민일보
88,2022.09.05.,[이제는 지방시대] 평화생태관광 중심지 파주… 곤돌라 타고 출렁다리 걸어볼까,https://news.kmib.co.kr/article/view.asp?arcid=0924262452&code=11131412&cp=nv,국민일보
89,2022.09.01.,한복의 멋을 보다. 한복문화주간 사전행사,https://news.kmib.co.kr/article/view.asp?arcid=0017430958&code=61211211&cp=nv,국민일보
90,2022.08.29.,“한달 2000만원 막막” 의료보험 끊긴 다문화가정들,https://news.kmib.co.kr/article/view.asp?arcid=0924261291&code=11131100&cp=nv,국민일보
91,2022.08.28.,파주시 ‘접경지역 시장·군수협의회’ 첫 정기회의 개최,https://news.kmib.co.kr/article/view.asp?arcid=0017414904&code=61121111&cp=nv,국민일보
92,2022.08.24.,‘제68회 경기도체육대회 2022 용인’ 25~27일,https://news.kmib.co.kr/article/view.asp?arcid=0017401338&code=61121111&cp=nv,국민일보
93,2022.08.24.,"태국 해변 관광객에 발견된 시신, 알고 보니 ‘리얼돌’",https://news.kmib.co.kr/article/view.asp?arcid=0017399680&code=61131311&cp=nv,국민일보
94,2022.08.22.,정명근 화성시장 “‘200만 균형발전특례시 화성’ 구현에 박차 가할 것”,https://news.kmib.co.kr/article/view.asp?arcid=0924260116&code=11131412&cp=nv,국민일보
95,2022.08.21.,정명근 시장 ‘200만 균형발전특례시 화성’ 구현 박차”,https://news.kmib.co.kr/article/view.asp?arcid=0017392644&code=61121111&cp=nv,국민일보
96,2022.08.17.,광주에 스타필드·백화점 동시 건립…신세계그룹,https://news.kmib.co.kr/article/view.asp?arcid=0017382216&code=61121111&cp=nv,국민일보
97,2022.08.16.,로아트 ‘우리가 기억한다. 기록한다’ 전시 눈길,https://news.kmib.co.kr/article/view.asp?arcid=0017378540&code=61121111&cp=nv,국민일보
98,2022.08.16.,"경기관광공사, 관광 현안 발굴·사업화 시·군과 ‘맞손’",https://news.kmib.co.kr/article/view.asp?arcid=0017377017&code=61121111&cp=nv,국민일보
99,2022.08.15.,한반도 평화 염원 안고 달린다… ‘Tour de DMZ’ 26일 개막,https://news.kmib.co.kr/article/view.asp?arcid=0017373602&code=61121111&cp=nv,국민일보
100,2022.08.10.,경기도 지역 유명 맛집이라더니… 원산지 거짓표시 등 위반,https://news.kmib.co.kr/article/view.asp?arcid=0924258552&code=11131412&cp=nv,국민일보
101,2022.08.09.,지역 유명 맛집이라더니…원산지 거짓 표시 등,https://news.kmib.co.kr/article/view.asp?arcid=0017355190&code=61121111&cp=nv,국민일보
102,2022.08.09.,"정부, 안쓰는 땅·건물 민간에 판다… 5년간 ‘16조+α’ 규모",https://news.kmib.co.kr/article/view.asp?arcid=0924258437&code=11151100&cp=nv,국민일보
